This file contains Bias values, measured magnitude values and does star tracker did the tracking or not at RA:75 DEC:38. This parameters is observed in HIPPERCOSE CATALOUGE


 Bias          Measured Mag           Tracking
 -0.9     3.30-3.57-3.81-4.29-5.07       FAIL
 -1       3.20-3.50-3.68-4.21-4.92       FAIL
 -1.1     3.31-3.62                      PASS
 -1.2     2.96-3.22-3.48-4.02            PASS
 -1.4     2.80-3.06-3.28                 PASS
 -1.6     2.61-2.87-3.06-3.28            PASS
 -1.8     2.41-2.67-2.90-3.73            PASS
 -1.85    2.36-2.62-2.80-3.65            PASS
 -1.90    1.50-2.32-2.59-2.77-3.28       FAIL
 -2       1.50-2.24-2.48-2.67-3.20       FAIL 
 
