This file contains Bias values, measured magnitude values and does star tracker did the tracking or not at RA:68 DEC:0. This parameters is observed in HIPPERCOSE CATALOUGE

 Bias            Measured Magnitude        Tracking
 -0.50                 veri yok              Fail

 -0.65          5.12-6.37-6.27-3.70-4.07     Fail
                -4.74-5.04                
  
 -0.70          4.07-4.63-0-0-0              Pass
 -0.75         4.03-4.87-0-0-0               Pass
 -0.80         3.96-4.64-0-0-0               Pass
 -0.85         3.51-3.78-4.49-4.69           Pass
 -1.55         2.72-3.15-3.66-3.77-4.18      Pass
 -1.60         2.69-3.06-3.63-3.64-3.87      Fail
 -1.65                veri yok               Fail 
 -1.70                veri yok               Fail
